Date,Comment,Sentiment,Platform,Username,Engagement_Count
2025-01-01,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,YouTube,user_retail_800,45
2025-01-01,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_558,100
2025-01-01,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,Instagram,user_retail_408,175
2025-01-01,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,Instagram,user_retail_291,1223
2025-01-01,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,Instagram,user_retail_352,28
2025-01-01,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,TikTok,user_retail_781,2
2025-01-01,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,Instagram,user_retail_786,250
2025-01-01,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,YouTube,user_retail_604,2
2025-01-01,Lewat sini pas lagi jam istirahat kantor aja.,Netral,X,user_retail_266,0
2025-01-01,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,Instagram,user_retail_876,14
2025-01-01,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,TikTok,user_retail_554,47
2025-01-02,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_673,19
2025-01-02,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,TikTok,user_retail_300,48
2025-01-02,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,TikTok,user_retail_872,130
2025-01-02,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_598,61
2025-01-02,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_938,147
2025-01-02,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,YouTube,user_retail_592,47
2025-01-02,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,X,user_retail_801,19
2025-01-02,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,TikTok,user_retail_915,108
2025-01-02,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,Instagram,user_retail_655,140
2025-01-02,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,Instagram,user_retail_205,41
2025-01-02,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_661,54
2025-01-02,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,TikTok,user_retail_152,44
